ciudad_nombre,area_hipotesis,area_confirmada,anio,mes,registros,hogares_unicos,duplicados_hogar,suma_fex_c18,suma_fex_c18_dedup,dif_fex_dedup,pct_dpto_esperado,pct_clase1,estado_geografico,observacion
Bogotá D.C.,11,11,2023,Abril,766,766,0,2965686.0,2965686.0,0.0,100.0,100.0,VALIDO,
Medellín A.M.,05,05,2023,Abril,961,961,0,1462939.0,1462939.0,0.0,100.0,100.0,VALIDO,
Cali A.M.,76,76,2023,Abril,958,958,0,795003.0,795003.0,0.0,100.0,100.0,VALIDO,
Barranquilla A.M.,08,08,2023,Abril,677,677,0,564008.0,564008.0,0.0,100.0,100.0,VALIDO,
Bucaramanga A.M.,68,68,2023,Abril,742,742,0,416577.0,416577.0,0.0,100.0,100.0,VALIDO,
Manizales A.M.,17,17,2023,Abril,970,970,0,177964.0,177964.0,0.0,100.0,100.0,VALIDO,
Pereira A.M.,66,66,2023,Abril,958,958,0,236649.0,236649.0,0.0,100.0,100.0,VALIDO,
Cúcuta A.M.,54,54,2023,Abril,710,710,0,309511.0,309511.0,0.0,100.0,100.0,VALIDO,
Ibagué,73,73,2023,Abril,595,595,0,189904.0,189904.0,0.0,100.0,100.0,VALIDO,
Pasto,52,52,2023,Abril,687,687,0,110623.0,110623.0,0.0,100.0,100.0,VALIDO,
Villavicencio,50,50,2023,Abril,695,695,0,183897.0,183897.0,0.0,100.0,100.0,VALIDO,
Montería,23,23,2023,Abril,499,499,0,135208.0,135208.0,0.0,100.0,100.0,VALIDO,
Cartagena,13,13,2023,Abril,747,747,0,296007.0,296007.0,0.0,100.0,100.0,VALIDO,
Neiva,41,41,2023,Abril,637,637,0,117288.0,117288.0,0.0,100.0,100.0,VALIDO,
Armenia,63,63,2023,Abril,729,729,0,111403.0,111403.0,0.0,100.0,100.0,VALIDO,
Santa Marta,47,47,2023,Abril,632,632,0,149080.0,149080.0,0.0,100.0,100.0,VALIDO,
Sincelejo,70,70,2023,Abril,604,604,0,78604.0,78604.0,0.0,100.0,100.0,VALIDO,
Valledupar,20,20,2023,Abril,576,576,0,146975.0,146975.0,0.0,100.0,100.0,VALIDO,
Popayán,19,19,2023,Abril,702,702,0,105570.0,105570.0,0.0,100.0,100.0,VALIDO,
Tunja,15,15,2023,Abril,668,668,0,62254.0,62254.0,0.0,100.0,100.0,VALIDO,
Riohacha,44,44,2023,Abril,587,587,0,48718.0,48718.0,0.0,100.0,100.0,VALIDO,
Florencia,18,18,2023,Abril,670,670,0,57646.0,57646.0,0.0,100.0,100.0,VALIDO,
Quibdó,27,27,2023,Abril,673,673,0,37235.0,37235.0,0.0,100.0,100.0,VALIDO,
Bogotá D.C.,11,11,2023,Agosto,789,789,0,2991116.0,2991116.0,0.0,100.0,100.0,VALIDO,
Medellín A.M.,05,05,2023,Agosto,996,996,0,1479319.0,1479319.0,0.0,100.0,100.0,VALIDO,
Cali A.M.,76,76,2023,Agosto,907,907,0,800675.0,800675.0,0.0,100.0,100.0,VALIDO,
Barranquilla A.M.,08,08,2023,Agosto,687,687,0,569016.0,569016.0,0.0,100.0,100.0,VALIDO,
Bucaramanga A.M.,68,68,2023,Agosto,763,763,0,419877.0,419877.0,0.0,100.0,100.0,VALIDO,
Manizales A.M.,17,17,2023,Agosto,971,971,0,179405.0,179405.0,0.0,100.0,100.0,VALIDO,
Pereira A.M.,66,66,2023,Agosto,970,970,0,238578.0,238578.0,0.0,100.0,100.0,VALIDO,
Cúcuta A.M.,54,54,2023,Agosto,691,691,0,311640.0,311640.0,0.0,100.0,100.0,VALIDO,
Ibagué,73,73,2023,Agosto,563,563,0,191097.0,191097.0,0.0,100.0,100.0,VALIDO,
Pasto,52,52,2023,Agosto,726,726,0,111355.0,111355.0,0.0,100.0,100.0,VALIDO,
Villavicencio,50,50,2023,Agosto,699,699,0,185249.0,185249.0,0.0,100.0,100.0,VALIDO,
Montería,23,23,2023,Agosto,506,506,0,136305.0,136305.0,0.0,100.0,100.0,VALIDO,
Cartagena,13,13,2023,Agosto,728,728,0,298549.0,298549.0,0.0,100.0,100.0,VALIDO,
