tipo_prueba,ciudad_nombre,anio,indicador,resultado,evidencia
SUMA_TENENCIA,Armenia,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Armenia,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Armenia,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Armenia,2026*,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Barranquilla A.M.,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Barranquilla A.M.,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Barranquilla A.M.,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Barranquilla A.M.,2026*,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Bogotá D.C.,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Bogotá D.C.,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Bogotá D.C.,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Bogotá D.C.,2026*,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Bucaramanga A.M.,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Bucaramanga A.M.,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Bucaramanga A.M.,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Bucaramanga A.M.,2026*,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Cali A.M.,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Cali A.M.,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Cali A.M.,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Cali A.M.,2026*,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Cartagena,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Cartagena,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Cartagena,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Cartagena,2026*,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Cúcuta A.M.,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Cúcuta A.M.,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Cúcuta A.M.,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Cúcuta A.M.,2026*,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Florencia,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Florencia,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Florencia,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Florencia,2026*,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Ibagué,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Ibagué,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Ibagué,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Ibagué,2026*,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Manizales A.M.,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Manizales A.M.,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Manizales A.M.,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Manizales A.M.,2026*,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Medellín A.M.,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Medellín A.M.,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Medellín A.M.,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Medellín A.M.,2026*,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Montería,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Montería,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Montería,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Montería,2026*,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Neiva,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Neiva,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Neiva,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Neiva,2026*,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Pasto,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Pasto,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Pasto,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Pasto,2026*,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Pereira A.M.,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Pereira A.M.,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Pereira A.M.,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Pereira A.M.,2026*,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Popayán,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Popayán,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Popayán,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Popayán,2026*,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Quibdó,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Quibdó,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Quibdó,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Quibdó,2026*,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Riohacha,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Riohacha,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Riohacha,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Riohacha,2026*,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Santa Marta,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Santa Marta,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Santa Marta,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Santa Marta,2026*,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Sincelejo,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Sincelejo,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Sincelejo,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Sincelejo,2026*,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Tunja,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Tunja,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Tunja,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Tunja,2026*,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Valledupar,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Valledupar,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Valledupar,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Valledupar,2026*,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Villavicencio,2023,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Villavicencio,2024,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Villavicencio,2025,,APROBADO,suma=100.0000%
SUMA_TENENCIA,Villavicencio,2026*,,APROBADO,suma=100.0000%
SENSIBILIDAD_OUTLIERS,Bogotá D.C.,2023,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Bogotá D.C.,2023,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Bogotá D.C.,2024,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Bogotá D.C.,2024,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Bogotá D.C.,2025,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Bogotá D.C.,2025,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
