ciudad,anio,indicador,valor_pct,error_estandar,ic95_inf,ic95_sup,deff,n_muestral,cv_pct,etiqueta_confiabilidad,nota
Bogotá D.C.,2023,Deficit habitacional total,10.9624,1.1506,8.7071,13.2176,2.252,1796,10.5,ACEPTABLE,
Bogotá D.C.,2023,Deficit habitacional cuantitativo,0.6226,0.2313,0.1692,1.076,1.436,1796,37.15,NO PUBLICAR,
Bogotá D.C.,2023,Deficit habitacional cualitativo,10.3397,1.0687,8.245,12.4344,2.046,1796,10.34,ACEPTABLE,
Bogotá D.C.,2023,Componente: hacinamiento mitigable,9.0566,0.9728,7.15,10.9633,1.908,1796,10.74,ACEPTABLE,
Bogotá D.C.,2023,Componente: alcantarillado o sanitario inadecuado,0.4612,0.3501,0.0,1.1474,4.434,1796,75.92,NO PUBLICAR,
Bogotá D.C.,2023,Componente: sin acueducto,0.3744,0.3413,0.0,1.0435,5.186,1796,91.16,NO PUBLICAR,
Bogotá D.C.,2023,Componente: lugar inadecuado para cocinar,1.1756,0.2833,0.6204,1.7308,1.147,1796,24.09,PRECAUCION,
Bogotá D.C.,2023,Componente: sin recoleccion de basuras,0.0675,0.0673,0.0,0.1994,1.115,1796,99.73,NO PUBLICAR,
Bogotá D.C.,2023,Paredes en material inadecuado,0.3118,0.1972,0.0,0.6983,2.078,1796,63.25,NO PUBLICAR,
Bogotá D.C.,2023,"Pisos de tierra, arena o barro",0.0919,0.0648,0.0,0.2189,0.76,1796,70.54,NO PUBLICAR,
Bogotá D.C.,2023,Hogares en estrato 1 o 2,46.9783,3.7176,39.6919,54.2647,9.212,1796,7.91,ACEPTABLE,
Bogotá D.C.,2023,Hogares en estrato 3,33.8276,3.4128,27.1386,40.5166,8.639,1796,10.09,ACEPTABLE,
Bogotá D.C.,2023,"Hogares en estrato 4, 5 o 6",18.6717,2.8348,13.1155,24.228,8.787,1796,15.18,PRECAUCION,
Bogotá D.C.,2023,Hogares sin estrato o no informa,0.5224,0.4639,0.0,1.4316,6.875,1796,88.8,NO PUBLICAR,
Medellín A.M.,2023,Deficit habitacional total,12.4797,2.1617,8.2427,16.7166,3.178,868,17.32,PRECAUCION,
Medellín A.M.,2023,Deficit habitacional cuantitativo,0.8949,0.35,0.2089,1.5809,1.026,868,39.11,NO PUBLICAR,
Medellín A.M.,2023,Deficit habitacional cualitativo,11.5848,2.1428,7.385,15.7846,3.33,868,18.5,PRECAUCION,
Medellín A.M.,2023,Componente: hacinamiento mitigable,5.0416,1.0325,3.018,7.0652,1.654,868,20.48,PRECAUCION,
Medellín A.M.,2023,Componente: alcantarillado o sanitario inadecuado,3.739,1.8133,0.1848,7.2931,6.786,868,48.5,NO PUBLICAR,
Medellín A.M.,2023,Componente: sin acueducto,0.0,,0.0,0.4039,,868,,PRECAUCION,sin casos en la muestra; el IC95 llega hasta 0.40%
Medellín A.M.,2023,Componente: lugar inadecuado para cocinar,3.7114,0.7596,2.2226,5.2002,1.199,868,20.47,PRECAUCION,
Medellín A.M.,2023,Componente: sin recoleccion de basuras,0.1632,0.1637,0.0,0.4841,1.221,868,100.29,NO PUBLICAR,
Medellín A.M.,2023,Paredes en material inadecuado,0.3951,0.2508,0.0,0.8867,1.187,868,63.47,NO PUBLICAR,
Medellín A.M.,2023,"Pisos de tierra, arena o barro",0.0,,0.0,0.4039,,868,,PRECAUCION,sin casos en la muestra; el IC95 llega hasta 0.40%
Medellín A.M.,2023,Hogares en estrato 1 o 2,51.5182,5.5141,40.7106,62.3258,9.042,868,10.7,ACEPTABLE,
Medellín A.M.,2023,Hogares en estrato 3,26.5914,4.7551,17.2714,35.9114,8.604,868,17.88,PRECAUCION,
Medellín A.M.,2023,"Hogares en estrato 4, 5 o 6",21.7922,4.4014,13.1656,30.4189,8.443,868,20.2,PRECAUCION,
Medellín A.M.,2023,Hogares sin estrato o no informa,0.0981,0.0982,0.0,0.2906,0.73,868,100.05,NO PUBLICAR,
Cali A.M.,2023,Deficit habitacional total,8.9061,2.1466,4.6989,13.1134,3.438,727,24.1,PRECAUCION,
Cali A.M.,2023,Deficit habitacional cuantitativo,1.2284,0.591,0.0701,2.3868,1.742,727,48.11,NO PUBLICAR,
Cali A.M.,2023,Deficit habitacional cualitativo,7.6777,1.833,4.085,11.2704,2.869,727,23.87,PRECAUCION,
Cali A.M.,2023,Componente: hacinamiento mitigable,5.2434,1.0812,3.1241,7.3626,1.424,727,20.62,PRECAUCION,
Cali A.M.,2023,Componente: alcantarillado o sanitario inadecuado,1.0749,1.0739,0.0,3.1798,6.566,727,99.91,NO PUBLICAR,
Cali A.M.,2023,Componente: sin acueducto,0.417,0.4166,0.0,1.2336,2.531,727,99.91,NO PUBLICAR,
Cali A.M.,2023,Componente: lugar inadecuado para cocinar,1.456,0.6159,0.2488,2.6632,1.601,727,42.3,NO PUBLICAR,
Cali A.M.,2023,Componente: sin recoleccion de basuras,1.6404,1.2792,0.0,4.1475,6.139,727,77.98,NO PUBLICAR,
Cali A.M.,2023,Paredes en material inadecuado,0.9349,0.5401,0.0,1.9935,1.906,727,57.77,NO PUBLICAR,
Cali A.M.,2023,"Pisos de tierra, arena o barro",0.5635,0.563,0.0,1.6671,3.425,727,99.91,NO PUBLICAR,
Cali A.M.,2023,Hogares en estrato 1 o 2,50.847,5.502,40.0631,61.6309,7.332,727,10.82,ACEPTABLE,
