anio,ciudad,municipios,n_municipios,municipios_sin_muestra,n_viviendas,n_viviendas_cabecera,veredicto
2023,Bogotá D.C.,11001,1,,2848,1786,SUFICIENTE
2023,Medellín A.M.,05001 05079 05088 05129 05212 05266 05308 05360 05380 05631,10,05079,1122,865,SUFICIENTE
2023,Cali A.M.,76001 76892,2,,894,713,SUFICIENTE
2023,Barranquilla A.M.,08001 08758,2,,1064,944,SUFICIENTE
2023,Bucaramanga A.M.,68001 68276 68307 68547,4,,995,738,SUFICIENTE
2023,Manizales A.M.,17001 17873,2,,912,706,SUFICIENTE
2023,Pereira A.M.,66001 66170 66400,3,,1372,711,SUFICIENTE
2023,Cúcuta A.M.,54001 54874 54553 54405 54261,5,54553,975,793,SUFICIENTE
2023,Ibagué,73001,1,,690,562,SUFICIENTE
2023,Pasto,52001,1,,572,433,SUFICIENTE
2023,Villavicencio,50001,1,,1016,739,SUFICIENTE
2023,Montería,23001,1,,645,489,SUFICIENTE
2023,Cartagena,13001,1,,1020,753,SUFICIENTE
2023,Neiva,41001,1,,615,545,SUFICIENTE
2023,Armenia,63001,1,,933,753,SUFICIENTE
2023,Santa Marta,47001,1,,659,523,SUFICIENTE
2023,Sincelejo,70001,1,,700,557,SUFICIENTE
2023,Valledupar,20001,1,,720,454,SUFICIENTE
2023,Popayán,19001,1,,595,516,SUFICIENTE
2023,Tunja,15001,1,,591,531,SUFICIENTE
2023,Riohacha,44001,1,,690,508,SUFICIENTE
2023,Florencia,18001,1,,909,712,SUFICIENTE
2023,Quibdó,27001,1,,556,476,SUFICIENTE
2024,Bogotá D.C.,11001,1,,2783,1771,SUFICIENTE
2024,Medellín A.M.,05001 05079 05088 05129 05212 05266 05308 05360 05380 05631,10,05079,1072,819,SUFICIENTE
2024,Cali A.M.,76001 76892,2,,963,781,SUFICIENTE
2024,Barranquilla A.M.,08001 08758,2,,1022,906,SUFICIENTE
2024,Bucaramanga A.M.,68001 68276 68307 68547,4,,962,709,SUFICIENTE
2024,Manizales A.M.,17001 17873,2,,948,737,SUFICIENTE
2024,Pereira A.M.,66001 66170 66400,3,,1420,741,SUFICIENTE
2024,Cúcuta A.M.,54001 54874 54553 54405 54261,5,54553,956,775,SUFICIENTE
2024,Ibagué,73001,1,,791,660,SUFICIENTE
2024,Pasto,52001,1,,659,518,SUFICIENTE
2024,Villavicencio,50001,1,,968,703,SUFICIENTE
2024,Montería,23001,1,,632,477,SUFICIENTE
2024,Cartagena,13001,1,,992,748,SUFICIENTE
2024,Neiva,41001,1,,635,566,SUFICIENTE
2024,Armenia,63001,1,,960,796,SUFICIENTE
2024,Santa Marta,47001,1,,589,453,SUFICIENTE
2024,Sincelejo,70001,1,,656,527,SUFICIENTE
2024,Valledupar,20001,1,,765,497,SUFICIENTE
2024,Popayán,19001,1,,610,535,SUFICIENTE
2024,Tunja,15001,1,,532,473,SUFICIENTE
2024,Riohacha,44001,1,,694,522,SUFICIENTE
2024,Florencia,18001,1,,965,765,SUFICIENTE
2024,Quibdó,27001,1,,511,437,SUFICIENTE
2025,Bogotá D.C.,11001,1,,2947,1866,SUFICIENTE
2025,Medellín A.M.,05001 05079 05088 05129 05212 05266 05308 05360 05380 05631,10,05079,999,748,SUFICIENTE
2025,Cali A.M.,76001 76892,2,,946,772,SUFICIENTE
2025,Barranquilla A.M.,08001 08758,2,,1010,902,SUFICIENTE
2025,Bucaramanga A.M.,68001 68276 68307 68547,4,,1028,794,SUFICIENTE
2025,Manizales A.M.,17001 17873,2,,1003,780,SUFICIENTE
2025,Pereira A.M.,66001 66170 66400,3,,1480,790,SUFICIENTE
2025,Cúcuta A.M.,54001 54874 54553 54405 54261,5,54553,985,802,SUFICIENTE
2025,Ibagué,73001,1,,804,674,SUFICIENTE
2025,Pasto,52001,1,,627,492,SUFICIENTE
2025,Villavicencio,50001,1,,1007,744,SUFICIENTE
2025,Montería,23001,1,,686,533,SUFICIENTE
2025,Cartagena,13001,1,,1021,770,SUFICIENTE
2025,Neiva,41001,1,,654,583,SUFICIENTE
2025,Armenia,63001,1,,913,740,SUFICIENTE
2025,Santa Marta,47001,1,,695,557,SUFICIENTE
2025,Sincelejo,70001,1,,650,524,SUFICIENTE
2025,Valledupar,20001,1,,730,478,SUFICIENTE
2025,Popayán,19001,1,,660,579,SUFICIENTE
2025,Tunja,15001,1,,582,522,SUFICIENTE
2025,Riohacha,44001,1,,698,514,SUFICIENTE
2025,Florencia,18001,1,,962,761,SUFICIENTE
2025,Quibdó,27001,1,,558,475,SUFICIENTE
