anio,ranking,posicion,ciudad,valor,unidad,n_muestral,cv_pct,etiqueta_confiabilidad,observacion
2023,1. Inquilinato (% hogares en arriendo),1,Bucaramanga A.M.,55.49,%,4927,1.4162,EXCELENTE,
2023,1. Inquilinato (% hogares en arriendo),2,Villavicencio,54.26,%,4332,1.1007,EXCELENTE,
2023,1. Inquilinato (% hogares en arriendo),3,Cali A.M.,53.94,%,5651,1.0190,EXCELENTE,
2023,1. Inquilinato (% hogares en arriendo),4,Pereira A.M.,53.55,%,5938,1.1067,EXCELENTE,
2023,1. Inquilinato (% hogares en arriendo),5,Medellín A.M.,53.35,%,6240,1.0354,EXCELENTE,
2023,1. Inquilinato (% hogares en arriendo),6,Ibagué,53.33,%,3546,1.1925,EXCELENTE,
2023,1. Inquilinato (% hogares en arriendo),7,Bogotá D.C.,51.07,%,4698,1.1085,EXCELENTE,
2023,1. Inquilinato (% hogares en arriendo),8,Riohacha,49.82,%,3217,1.2752,EXCELENTE,
2023,1. Inquilinato (% hogares en arriendo),9,Florencia,48.95,%,3678,1.2844,EXCELENTE,
2023,1. Inquilinato (% hogares en arriendo),10,Manizales A.M.,48.64,%,5374,1.0150,EXCELENTE,
2023,1. Inquilinato (% hogares en arriendo),11,Armenia,48.09,%,4114,1.2214,EXCELENTE,
2023,1. Inquilinato (% hogares en arriendo),12,Tunja,47.97,%,3680,1.2598,EXCELENTE,
2023,1. Inquilinato (% hogares en arriendo),13,Pasto,47.88,%,4089,1.2279,EXCELENTE,
2023,1. Inquilinato (% hogares en arriendo),14,Valledupar,47.2,%,3133,1.4050,EXCELENTE,
2023,1. Inquilinato (% hogares en arriendo),15,Popayán,45.37,%,3691,1.3834,EXCELENTE,
2023,1. Inquilinato (% hogares en arriendo),16,Neiva,42.75,%,3147,1.4435,EXCELENTE,
2023,1. Inquilinato (% hogares en arriendo),17,Cúcuta A.M.,42.42,%,3528,1.5015,EXCELENTE,
2023,1. Inquilinato (% hogares en arriendo),18,Santa Marta,41.11,%,3110,1.4218,EXCELENTE,
2023,1. Inquilinato (% hogares en arriendo),19,Cartagena,39.89,%,3358,1.4367,EXCELENTE,
2023,1. Inquilinato (% hogares en arriendo),20,Montería,39.1,%,2174,1.8500,EXCELENTE,
2023,1. Inquilinato (% hogares en arriendo),21,Barranquilla A.M.,37.37,%,2773,1.8356,EXCELENTE,
2023,1. Inquilinato (% hogares en arriendo),22,Quibdó,34.34,%,2786,1.5133,EXCELENTE,
2023,1. Inquilinato (% hogares en arriendo),23,Sincelejo,33.62,%,2286,1.6255,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),1,Bogotá D.C.,690000.0,$,4638,2.3740,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),2,Medellín A.M.,650000.0,$,6200,2.0315,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),3,Bucaramanga A.M.,600000.0,$,4890,0.3874,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),4,Manizales A.M.,600000.0,$,5304,0.0000,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),5,Tunja,550000.0,$,3649,0.3305,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),6,Cali A.M.,530000.0,$,5600,3.1746,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),7,Armenia,530000.0,$,4083,3.0562,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),8,Santa Marta,500000.0,$,3087,1.3455,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),9,Cartagena,500000.0,$,3318,0.0000,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),10,Barranquilla A.M.,500000.0,$,2750,1.6068,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),11,Ibagué,500000.0,$,3288,0.0000,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),12,Pasto,500000.0,$,4080,1.1923,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),13,Villavicencio,500000.0,$,4326,1.4187,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),14,Popayán,500000.0,$,3659,1.6846,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),15,Pereira A.M.,500000.0,$,5914,0.0000,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),16,Neiva,480000.0,$,3126,3.5789,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),17,Montería,450000.0,$,2170,2.1761,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),18,Valledupar,420000.0,$,3090,3.5259,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),19,Cúcuta A.M.,400000.0,$,3511,0.0000,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),20,Sincelejo,400000.0,$,2284,2.0779,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),21,Quibdó,380000.0,$,2784,4.0471,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),22,Riohacha,360000.0,$,3177,3.5041,EXCELENTE,
2023,2. Costo de arriendo (canon mediano),23,Florencia,350000.0,$,3663,2.3799,EXCELENTE,
2023,3. Estres habitacional (% arrendatarios con carga >30%),1,Valledupar,51.99,%,3060,,ACEPTABLE,
2023,3. Estres habitacional (% arrendatarios con carga >30%),2,Popayán,51.86,%,3638,,ACEPTABLE,
2023,3. Estres habitacional (% arrendatarios con carga >30%),3,Ibagué,50.45,%,3215,,ACEPTABLE,
2023,3. Estres habitacional (% arrendatarios con carga >30%),4,Quibdó,50.29,%,2761,,ACEPTABLE,
2023,3. Estres habitacional (% arrendatarios con carga >30%),5,Tunja,48.43,%,3629,,ACEPTABLE,
2023,3. Estres habitacional (% arrendatarios con carga >30%),6,Pasto,45.34,%,4060,,ACEPTABLE,
2023,3. Estres habitacional (% arrendatarios con carga >30%),7,Cartagena,45.19,%,3299,,ACEPTABLE,
2023,3. Estres habitacional (% arrendatarios con carga >30%),8,Medellín A.M.,45.0,%,6119,,ACEPTABLE,
2023,3. Estres habitacional (% arrendatarios con carga >30%),9,Barranquilla A.M.,44.55,%,2737,,ACEPTABLE,
2023,3. Estres habitacional (% arrendatarios con carga >30%),10,Riohacha,44.26,%,3162,,ACEPTABLE,
2023,3. Estres habitacional (% arrendatarios con carga >30%),11,Sincelejo,43.84,%,2273,,ACEPTABLE,
2023,3. Estres habitacional (% arrendatarios con carga >30%),12,Bogotá D.C.,43.82,%,4576,,ACEPTABLE,
2023,3. Estres habitacional (% arrendatarios con carga >30%),13,Montería,43.39,%,2162,,ACEPTABLE,
2023,3. Estres habitacional (% arrendatarios con carga >30%),14,Santa Marta,43.16,%,3059,,ACEPTABLE,
2023,3. Estres habitacional (% arrendatarios con carga >30%),15,Neiva,43.08,%,3077,,ACEPTABLE,
2023,3. Estres habitacional (% arrendatarios con carga >30%),16,Manizales A.M.,41.37,%,5250,,ACEPTABLE,
2023,3. Estres habitacional (% arrendatarios con carga >30%),17,Armenia,40.62,%,4059,,ACEPTABLE,
2023,3. Estres habitacional (% arrendatarios con carga >30%),18,Pereira A.M.,40.2,%,5821,,ACEPTABLE,
2023,3. Estres habitacional (% arrendatarios con carga >30%),19,Villavicencio,39.88,%,4278,,ACEPTABLE,
2023,3. Estres habitacional (% arrendatarios con carga >30%),20,Bucaramanga A.M.,38.71,%,4842,,ACEPTABLE,
2023,3. Estres habitacional (% arrendatarios con carga >30%),21,Cali A.M.,38.12,%,5543,,ACEPTABLE,
2023,3. Estres habitacional (% arrendatarios con carga >30%),22,Florencia,34.86,%,3599,,ACEPTABLE,
