ciudad_nombre,indicador,unidad,valor_2026_parcial,valor_2025_completo,valor_2025_homogeneo,variacion_ingenua,variacion_homogenea,sesgo_estacional,meses_comparados,nota
Bogotá D.C.,% en arriendo,pp,50.62,53.02,52.73,-2.4,-2.11,-0.29,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Bogotá D.C.,% propia totalmente pagada,pp,30.43,28.81,29.76,1.62,0.67,0.95,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Bogotá D.C.,Canon mediano de arriendo,%,800000.0,760000.0,750000.0,5.26,6.67,-1.4,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Bogotá D.C.,% hacinamiento (>3 pers/cuarto dormir),pp,1.08,0.88,0.75,0.2,0.33,-0.13,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Medellín A.M.,% en arriendo,pp,53.99,53.06,51.42,0.94,2.58,-1.64,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Medellín A.M.,% propia totalmente pagada,pp,28.42,29.67,30.6,-1.25,-2.18,0.93,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Medellín A.M.,Canon mediano de arriendo,%,850000.0,800000.0,800000.0,6.25,6.25,0.0,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Medellín A.M.,% hacinamiento (>3 pers/cuarto dormir),pp,0.88,1.06,1.19,-0.18,-0.31,0.13,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Cali A.M.,% en arriendo,pp,54.12,54.19,54.81,-0.07,-0.69,0.62,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Cali A.M.,% propia totalmente pagada,pp,25.24,25.87,25.56,-0.63,-0.32,-0.31,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Cali A.M.,Canon mediano de arriendo,%,650000.0,600000.0,600000.0,8.33,8.33,0.0,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Cali A.M.,% hacinamiento (>3 pers/cuarto dormir),pp,1.04,1.08,1.02,-0.05,0.01,-0.06,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Barranquilla A.M.,% en arriendo,pp,38.43,37.22,36.95,1.22,1.49,-0.27,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Barranquilla A.M.,% propia totalmente pagada,pp,33.11,32.78,32.33,0.33,0.78,-0.45,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Barranquilla A.M.,Canon mediano de arriendo,%,600000.0,600000.0,600000.0,0.0,0.0,0.0,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Barranquilla A.M.,% hacinamiento (>3 pers/cuarto dormir),pp,2.98,4.2,4.58,-1.22,-1.6,0.38,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Bucaramanga A.M.,% en arriendo,pp,57.86,55.89,55.4,1.97,2.46,-0.49,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Bucaramanga A.M.,% propia totalmente pagada,pp,24.27,24.16,24.23,0.11,0.04,0.08,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Bucaramanga A.M.,Canon mediano de arriendo,%,700000.0,650000.0,680000.0,7.69,2.94,4.75,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Bucaramanga A.M.,% hacinamiento (>3 pers/cuarto dormir),pp,0.94,1.22,0.87,-0.27,0.07,-0.34,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Manizales A.M.,% en arriendo,pp,50.86,49.75,49.05,1.11,1.8,-0.69,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Manizales A.M.,% propia totalmente pagada,pp,30.03,29.73,30.29,0.29,-0.26,0.56,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Manizales A.M.,Canon mediano de arriendo,%,800000.0,700000.0,700000.0,14.29,14.29,0.0,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Manizales A.M.,% hacinamiento (>3 pers/cuarto dormir),pp,0.58,0.72,0.69,-0.14,-0.11,-0.03,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Pereira A.M.,% en arriendo,pp,57.02,55.28,54.68,1.74,2.33,-0.6,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Pereira A.M.,% propia totalmente pagada,pp,25.55,26.15,25.99,-0.6,-0.44,-0.16,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Pereira A.M.,Canon mediano de arriendo,%,700000.0,600000.0,600000.0,16.67,16.67,0.0,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Pereira A.M.,% hacinamiento (>3 pers/cuarto dormir),pp,0.76,0.46,0.55,0.3,0.21,0.09,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Cúcuta A.M.,% en arriendo,pp,41.46,41.78,42.18,-0.33,-0.73,0.4,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Cúcuta A.M.,% propia totalmente pagada,pp,23.11,27.27,28.9,-4.17,-5.79,1.62,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Cúcuta A.M.,Canon mediano de arriendo,%,500000.0,500000.0,480000.0,0.0,4.17,-4.17,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Cúcuta A.M.,% hacinamiento (>3 pers/cuarto dormir),pp,3.88,4.32,4.36,-0.45,-0.49,0.04,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Ibagué,% en arriendo,pp,50.58,52.72,51.48,-2.15,-0.91,-1.24,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Ibagué,% propia totalmente pagada,pp,27.5,27.63,27.44,-0.13,0.06,-0.19,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Ibagué,Canon mediano de arriendo,%,600000.0,600000.0,550000.0,0.0,9.09,-9.09,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Ibagué,% hacinamiento (>3 pers/cuarto dormir),pp,0.55,0.69,0.87,-0.14,-0.32,0.17,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Pasto,% en arriendo,pp,48.03,48.97,48.96,-0.94,-0.93,-0.01,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Pasto,% propia totalmente pagada,pp,28.2,28.82,28.96,-0.62,-0.76,0.14,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Pasto,Canon mediano de arriendo,%,600000.0,500000.0,500000.0,20.0,20.0,0.0,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Pasto,% hacinamiento (>3 pers/cuarto dormir),pp,0.87,0.86,0.79,0.0,0.07,-0.07,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Villavicencio,% en arriendo,pp,55.49,56.7,56.73,-1.22,-1.24,0.03,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Villavicencio,% propia totalmente pagada,pp,25.03,23.88,23.53,1.15,1.5,-0.35,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Villavicencio,Canon mediano de arriendo,%,600000.0,530000.0,500000.0,13.21,20.0,-6.79,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Villavicencio,% hacinamiento (>3 pers/cuarto dormir),pp,0.97,1.49,1.89,-0.52,-0.92,0.4,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Montería,% en arriendo,pp,40.2,38.08,38.31,2.12,1.89,0.23,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Montería,% propia totalmente pagada,pp,30.28,31.13,30.76,-0.85,-0.48,-0.37,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Montería,Canon mediano de arriendo,%,550000.0,500000.0,500000.0,10.0,10.0,0.0,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Montería,% hacinamiento (>3 pers/cuarto dormir),pp,2.67,2.57,2.55,0.1,0.12,-0.02,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Cartagena,% en arriendo,pp,37.99,38.56,39.02,-0.57,-1.03,0.46,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Cartagena,% propia totalmente pagada,pp,27.99,27.79,27.24,0.21,0.75,-0.54,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Cartagena,Canon mediano de arriendo,%,600000.0,550000.0,500000.0,9.09,20.0,-10.91,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Cartagena,% hacinamiento (>3 pers/cuarto dormir),pp,3.8,3.84,3.69,-0.04,0.11,-0.15,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Neiva,% en arriendo,pp,44.68,43.61,43.78,1.08,0.9,0.18,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Neiva,% propia totalmente pagada,pp,32.22,34.63,34.57,-2.41,-2.35,-0.06,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Neiva,Canon mediano de arriendo,%,579996.56,500000.0,500000.0,16.0,16.0,0.0,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Neiva,% hacinamiento (>3 pers/cuarto dormir),pp,1.17,1.54,1.45,-0.37,-0.28,-0.09,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Armenia,% en arriendo,pp,51.28,51.55,51.22,-0.27,0.06,-0.33,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Armenia,% propia totalmente pagada,pp,28.13,29.11,29.87,-0.98,-1.74,0.76,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Armenia,Canon mediano de arriendo,%,700000.0,600000.0,600000.0,16.67,16.67,0.0,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Armenia,% hacinamiento (>3 pers/cuarto dormir),pp,0.49,0.66,0.79,-0.18,-0.31,0.13,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Santa Marta,% en arriendo,pp,43.2,41.51,41.36,1.69,1.85,-0.15,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Santa Marta,% propia totalmente pagada,pp,31.71,30.17,29.67,1.55,2.04,-0.49,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Santa Marta,Canon mediano de arriendo,%,550000.0,540000.0,500000.0,1.85,10.0,-8.15,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Santa Marta,% hacinamiento (>3 pers/cuarto dormir),pp,4.93,5.32,5.52,-0.4,-0.59,0.2,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
