ciudad,codigo_dominio,anio,meses_incluidos,bloque_indicador,nombre_indicador,valor,error_estandar,ic95_inf,ic95_sup,deff,n_muestral,cv_pct,etiqueta_confiabilidad,fuente,observacion
Armenia,63,2023,Ene-Dic (12 meses),arriendo,Canon de arriendo mensual - P25,400000.0,,,,,4083,,ACEPTABLE,"GEIH 2023 (DANE, catalogo ANDA 782)",23 registro(s) excluidos por valor extremo
Armenia,63,2023,Ene-Dic (12 meses),arriendo,Canon de arriendo mensual - P75,700000.0,,,,,4083,,ACEPTABLE,"GEIH 2023 (DANE, catalogo ANDA 782)",23 registro(s) excluidos por valor extremo
Armenia,63,2023,Ene-Dic (12 meses),arriendo,Canon de arriendo mensual - mediana,530000.0,16197.5954,500000.0000,550000.0000,10.3651,4083,3.0562,EXCELENTE,"GEIH 2023 (DANE, catalogo ANDA 782)",23 registro(s) excluidos por valor extremo
Armenia,63,2023,Ene-Dic (12 meses),arriendo,Canon de arriendo mensual - promedio,602711.2,5386.9890,591444.8758,613088.3469,1.1465,4083,0.8938,EXCELENTE,"GEIH 2023 (DANE, catalogo ANDA 782)",23 registro(s) excluidos por valor extremo
Armenia,63,2023,Ene-Dic (12 meses),deficit_habitacional,Deficit habitacional cualitativo,ND - pendiente Fase 2 (ECV),,,,,0,,ND,ECV (fuera de alcance Fase 1),ND - pendiente Fase 2 (ECV): fuente fuera de alcance de Fase 1
Armenia,63,2023,Ene-Dic (12 meses),deficit_habitacional,Deficit habitacional cuantitativo,ND - pendiente Fase 2 (ECV),,,,,0,,ND,ECV (fuera de alcance Fase 1),ND - pendiente Fase 2 (ECV): fuente fuera de alcance de Fase 1
Armenia,63,2023,Ene-Dic (12 meses),deficit_habitacional,Distribucion por estrato socioeconomico,ND - pendiente Fase 2 (ECV),,,,,0,,ND,ECV (fuera de alcance Fase 1),ND - pendiente Fase 2 (ECV): fuente fuera de alcance de Fase 1
Armenia,63,2023,Ene-Dic (12 meses),esfuerzo_financiero,Arrendatarios que destinan >30% del ingreso al arriendo,40.62,,,,,4059,,ACEPTABLE,"Pobreza Monetaria 2023 (DANE, catalogo ANDA 835)",sobrecarga (>30%)
Armenia,63,2023,Ene-Dic (12 meses),esfuerzo_financiero,Arrendatarios que destinan >50% del ingreso al arriendo,14.05,,,,,4059,,ACEPTABLE,"Pobreza Monetaria 2023 (DANE, catalogo ANDA 835)",sobrecarga severa (>50%)
Armenia,63,2023,Ene-Dic (12 meses),esfuerzo_financiero,Arriendo/ingreso del hogar (mediana),26.4,,,,,4059,,ACEPTABLE,"Pobreza Monetaria 2023 (DANE, catalogo ANDA 835)",Merge con 99.2% de coincidencia
Armenia,63,2023,Ene-Dic (12 meses),hacinamiento,Hogares con hacinamiento (>3 personas/cuarto para dormir),1.13,0.1281,0.9042,1.4134,1.2693,8609,11.3789,ACEPTABLE,"GEIH 2023 (DANE, catalogo ANDA 782)","Umbral >3 sobre CUARTOS PARA DORMIR (P5010), no cuartos totales"
Armenia,63,2023,Ene-Dic (12 meses),hacinamiento,Hogares con hacinamiento critico NBI (>3 personas/cuarto TOTAL),0.37,,,,,8609,,NO PUBLICAR,"GEIH 2023 (DANE, catalogo ANDA 782)",Definicion oficial DANE-NBI (cuartos totales incl. sala-comedor)
Armenia,63,2023,Ene-Dic (12 meses),hacinamiento,Personas por cuarto para dormir - mediana,1.33,,,,,8609,,ACEPTABLE,"GEIH 2023 (DANE, catalogo ANDA 782)",
Armenia,63,2023,Ene-Dic (12 meses),hacinamiento,Personas por cuarto para dormir - promedio,1.44,0.0066,1.4293,1.4553,1.1424,8609,0.4547,EXCELENTE,"GEIH 2023 (DANE, catalogo ANDA 782)",
Armenia,63,2023,Ene-Dic (12 meses),ingreso_pobreza,% arrendatarios en pobreza monetaria,32.6,,,,,4114,,ACEPTABLE,"Pobreza Monetaria 2023 (DANE, catalogo ANDA 835)",
Armenia,63,2023,Ene-Dic (12 meses),ingreso_pobreza,% hogares no pobres que viven en arriendo,43.71,,,,,6408,,ACEPTABLE,"Pobreza Monetaria 2023 (DANE, catalogo ANDA 835)",
Armenia,63,2023,Ene-Dic (12 meses),ingreso_pobreza,% hogares pobres que viven en arriendo,60.61,,,,,2201,,ACEPTABLE,"Pobreza Monetaria 2023 (DANE, catalogo ANDA 835)",
Armenia,63,2023,Ene-Dic (12 meses),ingreso_pobreza,% propietarios en pobreza monetaria,14.32,,,,,3217,,ACEPTABLE,"Pobreza Monetaria 2023 (DANE, catalogo ANDA 835)",
Armenia,63,2023,Ene-Dic (12 meses),ingreso_pobreza,Brecha de ingreso propietarios vs arrendatarios,27.86,,,,,0,,NO_APLICA,"Pobreza Monetaria 2023 (DANE, catalogo ANDA 835)",(+) = propietarios ganan mas; calculado sobre medianas ponderadas
Armenia,63,2023,Ene-Dic (12 meses),ingreso_pobreza,Ingreso mediano hogares arrendatarios,2000000.0,,,,,4090,,ACEPTABLE,"Pobreza Monetaria 2023 (DANE, catalogo ANDA 835)",ingtotug = ingreso total unidad de gasto SIN imputar arriendo
Armenia,63,2023,Ene-Dic (12 meses),ingreso_pobreza,Ingreso mediano hogares propietarios,2557272.67,,,,,3194,,ACEPTABLE,"Pobreza Monetaria 2023 (DANE, catalogo ANDA 835)",ingtotug = ingreso total unidad de gasto SIN imputar arriendo
